Age,Turnover,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
60,No,Yes,423,Support,45,5,Technical Degree,1,2393,3,Female,152,4,4,Sales Representative,4,Married,14263.0,114104.0,6,Y,Yes,22,3,2,80,4,19,3,4,8,6,1,1
53,Yes,Yes,1097,Human Resources,50,4,Life Sciences,1,8152,2,Male,129,4,1,Research Scientist,2,Divorced,7509.0,195234.0,6,Y,No,18,1,3,80,2,9,3,4,3,2,1,1
55,No,Yes,326,Sales,24,2,Marketing,1,7328,3,Male,168,3,2,Research Scientist,1,Divorced,24587.0,196696.0,7,Y,Yes,46,1,2,80,2,2,1,1,1,1,1,1
46,No,Yes,309,Research & Development,49,3,Human Resources,1,3471,3,Male,173,3,2,Human Resources,4,Divorced,12662.0,316550.0,2,Y,Yes,11,3,2,80,3,10,3,4,9,2,7,9
49,Yes,Yes,248,Software,26,5,Medical,1,159,1,Female,67,3,4,Research Scientist,3,Married,5726.0,114520.0,4,Y,No,5,2,4,80,4,26,3,4,2,2,1,2
56,Yes,Yes,1442,Support,10,3,Marketing,1,6755,3,Female,197,2,2,Manufacturing Director,3,Divorced,20700.0,227700.0,3,Y,Yes,36,4,1,80,2,18,3,3,1,1,1,1
51,No,No,1297,Research & Development,34,4,Life Sciences,1,6645,4,Male,173,2,1,Laboratory Technician,4,Married,20343.0,61029.0,8,Y,No,42,3,2,80,2,33,1,4,21,14,6,3
38,No,Yes,228,Software,27,1,Other,1,3925,3,Male,197,2,1,Manufacturing Director,2,Single,36075.0,793650.0,2,Y,Yes,33,1,1,80,2,1,3,2,1,1,1,1
34,No,Yes,1486,Hardware,26,4,Medical,1,1253,4,Female,147,4,3,Human Resources,1,Divorced,29479.0,235832.0,1,Y,No,40,3,4,80,1,22,1,4,22,18,18,8
38,Yes,No,166,Research & Development,3,1,Technical Degree,1,8235,2,Female,195,1,1,Manager,2,Married,43656.0,1047744.0,1,Y,No,29,3,4,80,2,10,6,1,10,4,9,6
44,Yes,No,812,Support,50,5,Life Sciences,1,5729,3,Female,144,1,2,Research Director,4,Single,39124.0,586860.0,3,Y,No,18,1,1,80,1,11,6,1,1,1,1,1
39,Yes,No,1120,Human Resources,18,4,Human Resources,1,4662,4,Male,40,2,3,Manufacturing Director,4,Divorced,7565.0,30260.0,7,Y,No,14,3,1,80,2,29,4,4,3,3,3,1
56,Yes,No,1227,Software,40,1,Other,1,5765,2,Female,196,3,3,Manager,4,Married,23163.0,115815.0,0,Y,No,38,4,3,80,4,39,3,3,37,18,12,12
41,No,No,1432,Human Resources,50,1,Medical,1,1538,1,Female,187,1,1,Manager,2,Single,43188.0,820572.0,5,Y,No,19,1,1,80,4,28,6,4,23,3,8,7
48,No,Yes,908,Research & Development,33,4,Life Sciences,1,260,2,Female,58,3,2,Laboratory Technician,3,Married,40306.0,806120.0,2,Y,Yes,19,4,2,80,2,16,3,4,8,4,1,8
40,Yes,Yes,506,Human Resources,12,1,Life Sciences,1,4494,4,Female,143,2,3,Sales Executive,3,Single,20317.0,325072.0,4,Y,Yes,35,4,3,80,3,36,2,1,9,6,1,9
46,No,Yes,1372,Research & Development,37,5,Technical Degree,1,4573,2,Male,135,2,5,Sales Executive,3,Divorced,24101.0,578424.0,5,Y,Yes,20,2,2,80,1,14,5,3,5,5,3,1
33,No,Yes,963,Hardware,38,3,Technical Degree,1,3885,3,Male,138,2,2,Healthcare Representative,2,Single,26221.0,288431.0,6,Y,Yes,8,3,1,80,2,1,5,3,1,1,1,1
26,Yes,Yes,759,Sales,43,1,Human Resources,1,7531,3,Female,185,4,4,Sales Representative,2,Married,39793.0,716274.0,0,Y,No,49,3,1,80,4,4,3,1,3,2,2,1
32,Yes,Yes,903,Software,46,3,Other,1,2301,4,Female,196,2,3,Manufacturing Director,2,Divorced,40241.0,1006025.0,4,Y,No,46,2,1,80,1,26,2,4,19,14,8,2
31,No,Yes,375,Research & Development,30,4,Marketing,1,5663,3,Male,184,4,5,Healthcare Representative,1,Single,18708.0,224496.0,6,Y,Yes,15,4,4,80,2,22,3,1,11,9,11,4
40,Yes,Yes,800,Support,30,4,Technical Degree,1,2602,2,Female,167,3,2,Human Resources,2,Divorced,12552.0,288696.0,7,Y,Yes,34,1,3,80,3,5,2,2,1,1,1,1
54,Yes,No,992,Research & Development,9,5,Other,1,5367,1,Male,121,4,4,Laboratory Technician,2,Single,39198.0,391980.0,8,Y,Yes,44,1,4,80,1,23,3,3,19,17,14,9
35,No,No,622,Research & Development,3,5,Technical Degree,1,1020,4,Female,87,1,1,Research Scientist,2,Married,33541.0,67082.0,6,Y,Yes,2,3,2,80,3,19,6,4,13,13,12,5
30,Yes,Yes,376,Hardware,8,3,Technical Degree,1,5960,4,Male,170,4,1,Human Resources,1,Married,4252.0,72284.0,0,Y,Yes,6,4,2,80,2,5,6,1,1,1,1,1
37,Yes,Yes,1130,Hardware,31,1,Technical Degree,1,1801,3,Female,30,4,1,Sales Executive,2,Single,28716.0,516888.0,1,Y,No,33,4,1,80,2,28,5,4,11,9,8,4
56,No,Yes,562,Hardware,11,1,Technical Degree,1,135,1,Male,176,4,5,Laboratory Technician,3,Single,4951.0,128726.0,7,Y,No,30,4,2,80,1,19,4,1,13,13,8,5
49,Yes,No,1478,Human Resources,20,4,Medical,1,7333,3,Female,32,4,3,Research Director,4,Single,14810.0,133290.0,5,Y,No,21,2,1,80,1,40,1,1,19,13,8,1
32,No,Yes,1277,Support,15,3,Marketing,1,5958,3,Female,181,2,1,Healthcare Representative,1,Divorced,36351.0,545265.0,3,Y,Yes,3,3,1,80,3,11,5,1,6,2,5,2
19,No,No,1386,Research & Development,4,3,Life Sciences,1,7549,2,Male,105,2,1,Sales Representative,4,Single,44258.0,973676.0,2,Y,No,20,4,2,80,4,30,6,1,20,3,10,4
60,No,Yes,519,Hardware,39,3,Technical Degree,1,8121,1,Male,146,1,1,Developer,3,Married,21536.0,279968.0,4,Y,No,44,3,4,80,3,14,2,2,12,7,5,3
37,No,No,508,Hardware,17,5,Life Sciences,1,6532,2,Male,175,2,5,Human Resources,4,Married,38420.0,614720.0,4,Y,Yes,8,3,4,80,2,22,3,2,11,9,3,2
46,No,No,1248,Software,25,2,Life Sciences,1,4659,1,Male,188,3,5,Research Scientist,4,Single,11026.0,121286.0,1,Y,No,21,2,3,80,3,24,1,2,10,1,4,4
51,No,Yes,1485,Software,18,3,Other,1,2512,1,Male,62,1,4,Manufacturing Director,1,Married,19692.0,492300.0,3,Y,No,31,2,1,80,1,23,1,4,3,2,3,1
41,Yes,Yes,711,Hardware,49,5,Human Resources,1,9892,4,Male,77,3,3,Manufacturing Director,1,Divorced,17466.0,384252.0,0,Y,Yes,24,4,2,80,3,9,1,3,7,4,5,2
37,No,Yes,108,Software,25,1,Human Resources,1,9403,4,Female,91,4,1,Healthcare Representative,4,Divorced,7066.0,98924.0,5,Y,Yes,26,3,1,80,4,24,6,3,1,1,1,1
30,Yes,Yes,636,Software,34,5,Marketing,1,3602,2,Male,64,1,1,Research Scientist,1,Single,16992.0,118944.0,6,Y,No,42,4,4,80,1,32,3,3,4,1,1,1
24,No,Yes,1380,Research & Development,14,2,Other,1,602,4,Male,44,4,1,Human Resources,4,Divorced,36026.0,288208.0,5,Y,No,0,3,2,80,3,25,2,1,2,1,1,1
30,No,Yes,318,Human Resources,7,1,Marketing,1,6972,3,Male,105,4,5,Manufacturing Director,3,Single,9390.0,234750.0,3,Y,No,45,2,2,80,2,34,6,1,10,6,10,6
36,Yes,Yes,854,Hardware,14,1,Marketing,1,9693,1,Male,110,3,1,Research Scientist,4,Single,16750.0,335000.0,5,Y,Yes,12,2,2,80,2,7,5,2,3,2,2,3
59,No,No,1241,Support,46,1,Technical Degree,1,6725,4,Female,56,4,3,Sales Representative,2,Married,19337.0,348066.0,0,Y,Yes,11,2,4,80,3,29,4,1,28,11,19,27
52,No,Yes,327,Support,40,5,Other,1,8581,4,Male,190,3,3,Research Scientist,2,Single,46010.0,1288280.0,2,Y,Yes,30,4,3,80,1,20,4,1,7,5,7,2
47,Yes,No,229,Support,30,5,Technical Degree,1,1746,1,Male,99,2,5,Manufacturing Director,4,Married,36957.0,554355.0,4,Y,Yes,41,1,3,80,4,19,1,1,5,2,1,4
50,No,No,933,Software,47,4,Technical Degree,1,4441,2,Male,111,4,2,Laboratory Technician,1,Divorced,33569.0,503535.0,8,Y,Yes,11,4,1,80,1,30,1,4,7,3,5,3
59,No,Yes,449,Human Resources,20,2,Life Sciences,1,9665,1,Female,64,2,3,Human Resources,4,Married,39743.0,635888.0,0,Y,No,35,2,2,80,4,17,5,2,12,12,9,4
54,No,Yes,253,Research & Development,9,1,Marketing,1,5318,3,Female,170,3,3,Sales Representative,1,Married,13865.0,194110.0,6,Y,No,33,2,1,80,4,26,3,2,24,1,8,13
35,Yes,No,477,Support,34,1,Life Sciences,1,5043,4,Male,138,1,5,Manager,1,Married,6916.0,6916.0,6,Y,Yes,34,3,3,80,4,2,3,2,2,1,1,1
51,No,Yes,274,Sales,15,5,Technical Degree,1,9159,4,Male,53,2,2,Sales Representative,3,Married,49304.0,1084688.0,6,Y,Yes,25,4,1,80,1,40,5,2,27,8,17,12
31,No,Yes,1226,Software,26,4,Marketing,1,2666,2,Female,99,1,4,Developer,3,Single,3053.0,91590.0,1,Y,No,42,2,1,80,1,12,5,3,9,6,7,1
51,No,Yes,1406,Software,36,5,Marketing,1,7121,1,Female,42,3,4,Manager,3,Married,8386.0,25158.0,3,Y,No,44,4,3,80,1,2,1,1,1,1,1,1
39,Yes,Yes,1091,Support,15,3,Other,1,2729,2,Female,179,3,1,Sales Representative,3,Divorced,27259.0,572439.0,8,Y,No,25,2,3,80,1,26,3,1,22,9,19,21
57,No,Yes,912,Research & Development,19,1,Technical Degree,1,4729,3,Male,117,3,4,Developer,1,Divorced,45274.0,1312946.0,8,Y,Yes,15,1,4,80,4,28,6,4,27,6,3,13
48,Yes,No,1376,Human Resources,19,3,Technical Degree,1,227,3,Male,156,3,2,Manager,3,Single,29810.0,655820.0,4,Y,No,3,1,2,80,1,37,4,4,29,10,3,22
59,Yes,No,1398,Software,43,2,Life Sciences,1,4936,1,Female,105,3,2,Laboratory Technician,3,Married,21296.0,404624.0,7,Y,No,49,2,3,80,3,6,6,4,1,1,1,1
19,No,No,632,Hardware,16,3,Human Resources,1,4245,2,Male,136,1,4,Manager,2,Divorced,43617.0,1221276.0,6,Y,No,22,3,4,80,2,12,4,3,9,2,1,3
42,Yes,Yes,290,Human Resources,3,1,Human Resources,1,8936,3,Female,163,4,2,Human Resources,4,Divorced,35901.0,323109.0,0,Y,Yes,13,3,4,80,1,21,5,2,5,5,1,5
43,Yes,Yes,1424,Research & Development,35,1,Marketing,1,3082,3,Female,143,3,3,Research Director,3,Married,22262.0,311668.0,8,Y,Yes,26,2,1,80,2,29,1,1,19,14,14,6
56,Yes,Yes,1158,Human Resources,22,1,Medical,1,9407,1,Female,58,4,5,Sales Executive,2,Single,12121.0,266662.0,8,Y,Yes,29,4,4,80,3,33,5,4,28,28,8,11
44,No,No,1204,Research & Development,17,1,Medical,1,1917,2,Male,64,3,1,Research Director,3,Single,14728.0,103096.0,6,Y,No,47,3,4,80,2,21,2,4,7,5,6,7
31,Yes,No,1114,Hardware,48,4,Other,1,6363,3,Female,80,2,5,Sales Representative,1,Divorced,29426.0,29426.0,1,Y,No,11,2,2,80,1,20,4,2,8,2,3,4
60,Yes,No,221,Software,11,3,Life Sciences,1,9589,1,Female,189,2,1,Sales Executive,3,Single,14361.0,28722.0,2,Y,Yes,8,1,1,80,3,34,5,1,13,6,13,13
52,No,No,334,Hardware,15,3,Human Resources,1,2093,1,Female,137,2,4,Manager,1,Single,21694.0,455574.0,5,Y,Yes,39,3,4,80,3,38,4,2,35,14,23,18
48,No,No,968,Research & Development,5,2,Life Sciences,1,7951,4,Male,44,4,4,Research Director,3,Married,4420.0,17680.0,7,Y,No,14,4,2,80,2,20,5,3,11,2,3,7
35,Yes,Yes,1400,Human Resources,25,4,Life Sciences,1,50,3,Female,150,4,1,Sales Representative,4,Divorced,35309.0,918034.0,5,Y,No,20,3,4,80,2,38,3,2,26,17,11,12
59,Yes,Yes,615,Hardware,41,5,Human Resources,1,3612,1,Female,113,4,1,Laboratory Technician,4,Married,8033.0,8033.0,4,Y,No,34,1,2,80,4,38,1,3,36,3,7,29
43,Yes,No,690,Software,28,1,Life Sciences,1,3817,4,Female,119,4,4,Healthcare Representative,4,Divorced,34670.0,485380.0,7,Y,No,31,3,3,80,1,38,2,1,33,8,26,27
47,Yes,No,551,Software,25,3,Life Sciences,1,5625,1,Male,60,2,4,Human Resources,3,Divorced,37363.0,635171.0,7,Y,Yes,25,4,3,80,1,26,3,1,24,22,13,15
47,Yes,Yes,480,Sales,15,3,Technical Degree,1,6814,3,Female,166,4,2,Developer,3,Divorced,42788.0,599032.0,0,Y,Yes,18,3,4,80,2,39,1,1,14,1,12,1
28,No,No,323,Human Resources,36,1,Life Sciences,1,5968,3,Female,35,3,2,Sales Representative,2,Divorced,50144.0,1203456.0,0,Y,No,37,4,3,80,3,4,4,1,1,1,1,1
21,No,Yes,500,Support,42,5,Technical Degree,1,2880,1,Female,63,2,4,Developer,3,Married,41265.0,660240.0,1,Y,No,31,1,4,80,2,22,5,3,11,4,8,8
26,No,Yes,885,Research & Development,23,5,Life Sciences,1,7090,2,Male,37,1,2,Sales Executive,1,Single,17774.0,231062.0,3,Y,No,8,2,4,80,3,13,1,1,2,2,2,2
53,No,Yes,1313,Software,20,4,Medical,1,8862,1,Male,45,4,4,Sales Representative,4,Divorced,29550.0,118200.0,3,Y,No,21,2,1,80,2,33,3,2,14,6,11,14
49,Yes,Yes,1485,Sales,30,3,Medical,1,271,2,Male,82,3,4,Research Scientist,2,Single,48516.0,145548.0,2,Y,Yes,29,1,3,80,2,23,1,4,14,1,5,10
26,No,Yes,978,Sales,26,5,Life Sciences,1,8750,2,Female,152,3,3,Healthcare Representative,3,Divorced,34920.0,733320.0,8,Y,Yes,17,4,2,80,1,34,6,3,21,7,12,14
33,Yes,No,1411,Human Resources,23,5,Technical Degree,1,8046,2,Male,72,1,4,Developer,2,Single,19683.0,295245.0,7,Y,No,45,1,2,80,3,17,6,2,16,15,2,2
60,Yes,Yes,729,Research & Development,17,2,Medical,1,2144,2,Female,164,3,2,Developer,2,Married,26138.0,182966.0,6,Y,Yes,13,3,2,80,2,26,6,3,2,2,2,1
41,No,No,999,Support,2,3,Marketing,1,7528,4,Female,111,2,1,Developer,4,Divorced,28428.0,511704.0,5,Y,No,44,3,1,80,4,17,5,3,4,4,1,2
34,Yes,No,491,Hardware,6,2,Technical Degree,1,9821,2,Male,100,2,4,Laboratory Technician,1,Divorced,37445.0,149780.0,1,Y,Yes,0,3,2,80,1,9,6,1,3,1,1,1
51,No,Yes,223,Software,49,4,Technical Degree,1,5577,4,Male,94,4,2,Research Scientist,1,Married,39640.0,554960.0,8,Y,No,28,3,1,80,2,2,3,4,1,1,1,1
36,Yes,Yes,1099,Software,17,4,Marketing,1,9034,2,Female,148,1,5,Research Scientist,1,Married,27034.0,270340.0,7,Y,No,5,1,4,80,4,5,6,3,2,2,2,1
50,Yes,No,1047,Human Resources,7,1,Other,1,23,4,Male,188,2,1,Healthcare Representative,2,Single,39576.0,910248.0,1,Y,No,46,2,1,80,4,31,1,1,18,5,8,12
33,Yes,Yes,1331,Sales,13,5,Human Resources,1,955,4,Male,71,1,1,Sales Executive,4,Divorced,14656.0,322432.0,7,Y,Yes,44,3,3,80,4,30,3,3,16,12,10,2
58,No,Yes,903,Software,30,3,Technical Degree,1,51,4,Female,170,4,3,Manager,2,Single,44334.0,1330020.0,2,Y,No,26,1,3,80,3,23,6,2,3,2,2,3
46,No,Yes,838,Research & Development,43,5,Technical Degree,1,5025,3,Female,125,3,4,Healthcare Representative,1,Single,39672.0,1031472.0,0,Y,Yes,39,2,2,80,2,29,2,3,5,5,5,5
38,No,Yes,1137,Support,23,2,Human Resources,1,3167,1,Female,62,4,5,Research Scientist,1,Married,19482.0,370158.0,1,Y,No,45,4,1,80,3,14,2,2,11,5,5,11
26,No,Yes,220,Support,21,1,Technical Degree,1,8937,3,Female,137,2,1,Human Resources,1,Married,4223.0,92906.0,6,Y,Yes,2,4,4,80,2,5,1,2,2,2,2,1
30,Yes,No,1259,Software,25,4,Medical,1,1490,3,Female,136,2,5,Healthcare Representative,3,Married,9596.0,9596.0,2,Y,Yes,15,3,1,80,3,30,4,1,4,1,4,2
45,No,Yes,605,Research & Development,40,1,Marketing,1,6671,3,Male,83,3,3,Research Scientist,4,Married,41066.0,862386.0,7,Y,No,48,4,2,80,2,34,1,1,27,15,11,19
57,Yes,Yes,181,Support,18,3,Marketing,1,5444,1,Female,57,4,2,Manager,3,Single,43141.0,345128.0,2,Y,No,19,2,4,80,3,29,4,1,11,2,4,10
49,Yes,No,939,Human Resources,4,1,Marketing,1,2288,1,Female,77,1,4,Manufacturing Director,4,Married,22245.0,44490.0,4,Y,Yes,39,2,3,80,3,18,4,1,7,7,5,5
41,Yes,No,496,Sales,40,5,Human Resources,1,8327,1,Female,190,1,4,Manager,3,Married,48384.0,1112832.0,6,Y,No,48,2,3,80,4,28,3,1,9,5,5,1
58,Yes,No,1445,Support,12,5,Marketing,1,5341,1,Male,48,3,1,Research Director,2,Divorced,10577.0,275002.0,5,Y,No,41,3,4,80,2,11,5,2,7,7,6,2
33,Yes,Yes,301,Support,16,4,Life Sciences,1,2428,3,Male,111,2,5,Manager,1,Divorced,14762.0,324764.0,0,Y,No,20,2,3,80,4,36,3,1,3,1,2,3
36,Yes,Yes,225,Support,2,3,Other,1,2708,2,Male,40,2,2,Research Director,2,Single,25364.0,634100.0,8,Y,No,37,4,2,80,2,26,2,2,20,7,14,20
37,Yes,Yes,1008,Support,43,1,Human Resources,1,8901,1,Male,168,1,5,Manufacturing Director,4,Single,49047.0,196188.0,3,Y,Yes,3,1,2,80,2,28,5,3,7,7,1,4
32,No,Yes,661,Software,39,3,Technical Degree,1,6561,2,Male,55,1,2,Research Scientist,2,Single,42970.0,902370.0,4,Y,No,38,4,4,80,3,26,3,4,17,4,5,12
45,No,Yes,186,Research & Development,42,3,Medical,1,8738,2,Male,158,4,4,Manager,1,Single,46978.0,140934.0,1,Y,No,40,4,1,80,1,10,3,2,1,1,1,1
29,No,No,1129,Sales,33,5,Technical Degree,1,4435,2,Male,145,2,1,Sales Representative,3,Divorced,20469.0,245628.0,1,Y,Yes,14,3,2,80,1,24,5,1,8,2,1,3
53,Yes,No,594,Research & Development,1,5,Marketing,1,3964,2,Male,160,1,3,Manager,2,Single,23645.0,425610.0,1,Y,No,46,3,3,80,2,27,3,3,21,2,18,19
30,Yes,Yes,164,Support,47,2,Medical,1,4877,4,Female,55,4,5,Manufacturing Director,1,Married,41589.0,1206081.0,3,Y,No,0,2,4,80,3,28,2,1,2,2,1,1
21,Yes,Yes,362,Software,43,5,Human Resources,1,5327,1,Female,125,3,4,Manufacturing Director,2,Single,30370.0,546660.0,3,Y,Yes,10,3,1,80,4,38,4,4,27,14,9,15
32,Yes,Yes,1466,Support,15,4,Marketing,1,9666,4,Male,84,1,5,Laboratory Technician,3,Divorced,41243.0,907346.0,4,Y,Yes,9,3,3,80,2,34,1,3,19,2,2,4
57,Yes,No,177,Hardware,29,2,Human Resources,1,5584,1,Female,160,4,1,Manufacturing Director,3,Divorced,44243.0,221215.0,7,Y,No,33,1,2,80,2,29,3,1,23,11,9,11
60,No,Yes,794,Sales,13,3,Medical,1,3352,3,Male,141,3,2,Research Scientist,2,Married,47986.0,1247636.0,4,Y,Yes,39,3,2,80,4,37,5,2,30,23,26,10
59,No,Yes,812,Research & Development,25,4,Technical Degree,1,7601,4,Male,75,1,3,Healthcare Representative,4,Married,4717.0,132076.0,8,Y,No,19,4,3,80,3,29,5,4,2,1,1,1
20,No,Yes,485,Research & Development,37,4,Marketing,1,9611,2,Male,52,2,1,Human Resources,2,Single,31749.0,285741.0,2,Y,Yes,35,3,2,80,4,31,6,1,4,4,4,4
54,No,Yes,329,Human Resources,22,4,Medical,1,3075,1,Male,115,4,5,Healthcare Representative,1,Married,23820.0,476400.0,0,Y,No,33,1,1,80,4,13,6,3,8,1,3,3
24,Yes,Yes,1091,Human Resources,6,5,Human Resources,1,2105,1,Male,148,2,4,Manufacturing Director,3,Married,42414.0,805866.0,4,Y,No,46,4,2,80,3,17,2,3,4,1,4,2
29,No,Yes,540,Hardware,47,5,Human Resources,1,7347,4,Female,123,4,4,Sales Representative,1,Single,14480.0,115840.0,0,Y,Yes,18,4,1,80,2,22,1,4,14,12,9,2
33,No,No,857,Support,43,4,Life Sciences,1,4782,4,Female,50,2,5,Developer,4,Married,6688.0,113696.0,7,Y,No,10,4,4,80,1,16,2,1,10,5,10,6
48,Yes,Yes,1421,Hardware,4,1,Marketing,1,7099,3,Female,108,3,2,Manager,4,Divorced,8852.0,53112.0,0,Y,No,48,2,4,80,3,4,5,4,2,2,2,2
24,Yes,Yes,980,Human Resources,44,1,Human Resources,1,7245,4,Female,151,3,3,Research Director,1,Single,9958.0,79664.0,2,Y,No,16,1,1,80,1,32,5,2,15,7,8,15
42,No,Yes,533,Research & Development,2,5,Human Resources,1,5174,1,Male,200,1,1,Sales Representative,2,Married,27644.0,525236.0,1,Y,No,9,1,4,80,4,9,4,1,7,3,5,7
50,No,Yes,195,Hardware,47,1,Life Sciences,1,1139,4,Male,192,4,5,Human Resources,1,Single,46303.0,231515.0,0,Y,No,22,3,3,80,4,37,6,3,18,3,12,1
36,Yes,Yes,519,Human Resources,44,4,Other,1,5372,1,Male,111,3,2,Manager,1,Divorced,50374.0,805984.0,7,Y,Yes,0,1,3,80,1,26,3,3,16,14,10,6
34,No,Yes,1343,Research & Development,18,3,Marketing,1,4401,2,Female,200,1,1,Sales Executive,2,Divorced,28324.0,113296.0,4,Y,Yes,33,4,4,80,4,21,3,1,18,16,10,3
35,No,No,656,Research & Development,8,3,Medical,1,5540,2,Male,60,3,4,Manufacturing Director,4,Single,49046.0,1275196.0,5,Y,No,48,3,1,80,1,33,5,4,31,20,10,15
39,Yes,Yes,165,Research & Development,49,4,Life Sciences,1,7810,4,Female,117,3,1,Manager,2,Married,24746.0,321698.0,2,Y,Yes,5,1,2,80,4,36,5,1,30,21,26,4
43,Yes,No,1236,Support,8,4,Medical,1,653,1,Male,122,4,4,Healthcare Representative,4,Married,10725.0,268125.0,5,Y,Yes,39,1,1,80,4,14,4,2,10,6,7,9
31,No,No,873,Hardware,7,4,Life Sciences,1,6338,4,Female,79,4,2,Sales Executive,2,Divorced,31689.0,823914.0,2,Y,No,13,1,3,80,2,10,6,4,6,2,2,4
35,Yes,No,1336,Human Resources,12,2,Medical,1,6167,3,Female,85,2,5,Sales Executive,1,Divorced,4572.0,137160.0,1,Y,No,35,1,3,80,4,23,5,3,8,4,8,5
50,No,Yes,547,Hardware,13,4,Medical,1,8115,4,Female,80,2,3,Laboratory Technician,2,Single,43564.0,522768.0,8,Y,Yes,15,2,3,80,1,23,3,3,20,13,12,4
